Geography|Documents
Ruotsi|1104
Vaasan lääni|924
Suomi|841
Turun ja Porin lääni|496
Turku|182
Helsinki|175
Kreikka|119
Venäjä|106
Pohjoismaat|100
Ahvenanmaa|87
Uppsala|86
Rooman valtakunta|80
Pohjanmaa|76
Tukholma|69
Suomenlahti|56
Oulun lääni|46
Karjala|43
Itämeri|42
Tartto|39
Kyminkartanon lääni|39
Viipuri|37
Pohjanlahti|37
Pietarsaari|37
Uudenmaan ja Hämeen lääni|35
Uusimaa|33
Norja|33
Tanska|32
Lappi|31
Eurooppa|31
Lapväärtti|26
Ilmola|26
Tampere|25
Kuopion lääni|24
Porvoo|22
Kaskinen|22
Häme|22
Vaasa|21
Laihia|20
Hamina|20
Heinola|19
Hämeenlinna|19
Oulu|18
Länsipohja|18
Hämeen lääni|18
Narva|17
Uudenmaan lääni|16
Wittenberg|15
Turun saaristo|15
Saimaa|15
Pori|15
Inkeri|15
Mustasaari|14
Viro|13
Viipurin lääni|13
Saksa|13
Saaristomeri|13
Preussi|13
Kirkkonummi|13
Göteborg|13
Skaraborg|12
Pohjois-Amerikka|12
Loviisa|12
Lappeenranta|12
Espoo|12
Turun lääni|11
Tornio|11
Savo|11
Mikkeli|11
Karlskrona|11
Virolahti|10
Uusikaupunki|10
Uusikaarlepyy|10
Sipoo|10
Savonlinna|10
Rauma|10
Muolaa|10
Kotka|10
Satakunta|9
Naantali|9
Kuopio|9
Kokkola|9
Jyväskylä|9
Etelä-Suomi|9
Viipurin maalaiskunta|8
Viipurin kuvernementti|8
Vänersborg|8
Tammisaari|8
Sortavala|8
Savon ja Karjalan lääni|8
Rostock|8
Pohjois-Eurooppa|8
Pirkkala|8
Pietari|8
Mäntyharju|8
Koivisto|8
Käkisalmi|8
Jönköping|8
Isokyrö|8
Imatra|8
Hattula|8
Baltia|8
Vihti|7
Vähäkyrö|7
Uusikirkko Vpl.|7
Uumaja|7
Tallinna|7
Ruotsinsalmi|7
Närpiö|7
Mynämäki|7
Lapua|7
Ilmajoki|7
Iitti|7
Ylistaro|6
Varsinais-Suomi|6
Valkjärvi|6
Södermanlanti|6
Ruotsinpyhtää|6
Puola|6
Pärnu|6
Nurmijärvi|6
Novgorod|6
Mikkelin lääni|6
Maalahti|6
Luumäki|6
Linköping|6
Lappee|6
Lammi|6
Kristiinankaupunki|6
Kokemäenjoki|6
Karjalankannas|6
Kajaani|6
Hollola|6
Hanko|6
Vehmaa|5
Vehkalahti|5
Vanha Suomi|5
Valkeala|5
Uusikirkko Tl.|5
Suomenlinna|5
Sippola|5
Säkkijärvi|5
Raisio|5
Porin lääni|5
Petolahti|5
Perniö|5
Parainen|5
Pälkäne|5
Nauvo|5
Nastola|5
Mäntsälä|5
Loppi|5
Lapinjärvi|5
Lahti|5
Kustavi|5
Kivennapa|5
Karjalohja|5
Karjaa|5
Kainuu|5
Janakkala|5
Halikko|5
Eura|5
Elimäki|5
Arabian niemimaa|5
Älfsborg|5
Vöyri|4
Vesilahti|4
Uskela|4
Ulvila|4
Tyrvää|4
Teuva|4
Tenhola|4
Somero|4
Siikajoki|4
Selkämeri|4
Saimaan kanava|4
Sääminki|4
Ruovesi|4
Rautu|4
Pultava|4
Pornainen|4
Pernaja|4
Padasjoki|4
Merikarvia|4
Merenkurkku|4
Masku|4
Maksamaa|4
Lontoo|4
Lohtaja|4
Lohja|4
Liivinmaa|4
Kyminkartanon ja Savon lääni|4
Kymi|4
Kurikka|4
Kuolan niemimaa|4
Kulosaari|4
Köyliö|4
Korppoo|4
Keski-Suomi|4
Kemiö|4
Kangasala|4
Jokioinen|4
Johannes|4
Itä-Suomi|4
Islanti|4
Inkoo|4
Huittinen|4
Helsingin pitäjä|4
Heinjoki|4
Greifswald|4
Dragsfjärd|4
Artjärvi|4
Antrea|4
Tuusula|3
Teerijärvi|3
Tammela|3
Suomusjärvi|3
Sulva|3
Strängnäs|3
Stralsund|3
Siuntio|3
Säkylä|3
Sahalahti|3
Rymättylä|3
Rantasalmi|3
Ranska|3
Räisälä|3
Raippaluoto|3
Raahe|3
Pyhtää|3
Pyhäjoki|3
Purmo|3
Punkaharju|3
Porvoon maalaiskunta|3
Pohjois-Suomi|3
Pohjanmeri|3
Pirttikylä|3
Perämeri|3
Parikkala|3
Orivesi|3
Orimattila|3
Nummi|3
Neva (joki)|3
Myrskylä|3
Miehikkälä|3
Maaria|3
Loimijoki|3
Länsi-Götanmaa|3
Laatokka|3
Kuolemajärvi|3
Kruunupyy|3
Korsnäs|3
Kopparberg|3
Kokemäki|3
Kökar|3
Klissov|3
Kisko|3
Kiikala|3
Kemi|3
Kankaanpää|3
Kälviä|3
Kalajoki|3
Itämeren alue|3
Itägöötanmaa|3
Impilahti|3
historia|3
Himanka|3
Helsingin maalaiskunta|3
Hausjärvi|3
Hauho|3
Haaparanta|3
Götanmaa|3
Gävleborg|3
Gävle|3
