catalog	author	short_title	title	dissertation	publication_place	publication_year
Kungliga	NA	En nyttig och tydelig anwisning 	En nyttig och tydelig anwisning til swenska och finska språket; hwarigenom en, som språket intet lärdt, inhämtar uti handel, resor, uti godt folks samqwäm, frågor och swar, tydelig hjelp. Yxi hyödyllinen ja selkiä johdatus ruotsin ja	FALSE	Vaasa	1776
Kungliga	NA	Kongl. Wasa hof-rätts universaler och 	Kongl. Wasa hof-rätts universaler och circulairer. Wasa, tryckt hos C.A. Londicer. =1-2. 1821.=	FALSE	Vaasa	1776
Kungliga	NA	Methodus conversandi cum Deo. Det 	Methodus conversandi cum Deo. Det är: Kort dock grundelig anledning til en stadig umgängelse med Gud. Jemte et företal, om förberedelse dertil, samt huru mången, genom sielfwållande förhinder, stänger sig derifrån. Ny uplaga. Wasa, 1776	FALSE	Vaasa	1776
Kungliga	Zachariae, Carl Henric (1698-1782)	En rätt evangelisk begäran och 	En rätt evangelisk begäran och kallelse nämligen at komma och njuta det af Gud i Christo beredda härliga goda; hwilken kallelse skedde i en weko-predikan d. 18 augusti 1734, öfwer Luce XIV:17. eller evangelium på 2 söndagen efter trinitatis	FALSE	Vaasa	1777
Kungliga	Seydlitz, Johann August (1704-1751)	Frälsarens Jesu Christi innerliga längtan 	Frälsarens Jesu Christi innerliga längtan efter människornas öfwerswinneliga salighet; förestäld uti en år 1734 den 27 october, öfwer Es. 48:17.18. inför hans maj:t, konungen i Danmark och Norrige, i desz slotts capell efter nådig befallning	FALSE	Vaasa	1777
Kungliga	Hersleb, Peder (1689-1757)	Guds barns dagliga framträdande til 	Guds barns dagliga framträdande til nådastolen, eller Utwalda morgon- och afton-böner, på alla dagar i wekan, dem til nytta som wilja tilbedja Gud i andanom och i sanningen. Först sammanskrifne på danska tungomålet af P. Hersleb .	FALSE	Vaasa	1777
Kungliga	Aspegren, Hans Henric (1741-1790)	Pedersöre landtman eller Tankar om 	Pedersöre landtman eller Tankar om landtbrukets hinder och hjelp i Pedersöre sokn af Österbotn och Wasa län; aflemnade på sin faders, probstens ... Gabriel Andersson Aspegrens befallning, af Hans Henric Aspegren. ... Wasa, 1777. Tryckt	FALSE	Vaasa	1777
Kungliga	Crøger, Michael (1714-NA)	Wår frälsares Jesu Christi lidandes 	Wår frälsares Jesu Christi lidandes och döds betraktande, i anledning af Ebr. 12:2. Ny uplaga. =Anon.= Wasa, 1777. Trykt hos Georg Wilhelm Londicer. Efter trykt exemplar från Götheborg	FALSE	Vaasa	1777
Kungliga	NA	Gustaf med Guds Nåde Sweriges, 	Gustaf med Guds Nåde Sweriges, Göthes och Wendes Konung ... alla de lagar, hwilka tid efter annan, så af Riksens ständer, som osz sjelfwe blifwit i detta mål stadgade, både de, som blifwit urfärdade emot yppighet i kläder, och de, som til fabriquernes upkomst i Riket blifwit faststälte .	FALSE	Vaasa	1778
Kungliga	Båld, Eric	Mag. Eric Bålds Tolf christendoms-reglor, 	Mag. Eric Bålds Tolf christendoms-reglor, förestälte uti aftonsången på 19 söndagen efter trinitatis uti Stor-kyrkan i Stockholm, år 1734. Uplagde i Upsala 1772. Wasa, 1778. Tryckte hos Georg Wilhelm Londicer, kongl. privil. boktryckare	FALSE	Vaasa	1778
Kungliga	NA	Några upbyggeliga bref. Wasa, 1778. 	Några upbyggeliga bref. Wasa, 1778. Tryckte hos Georg Wilhelm Londicer. Kongl. privil. boktryckare	FALSE	Vaasa	1778
Kungliga	Florén, Gabriel (NA-1705)	Sömnlösa nätter, wid warande krankhet, 	Sömnlösa nätter, wid warande krankhet, då i betraktande är kommit, de gudfruktigas lidande på jorden, och glädje i himmelen, samt de ogudaktigas wälgång i lifwet, och undergång i döden. Framgifne af Gabriel Floren. Wasa, 1778. Tryckt	FALSE	Vaasa	1778
Kungliga	Snellman, Johan Niclas (1769-1844)	Tal, då hans kongl. höghet, 	Tal, då hans kongl. höghet, Swea rikes kron-prints Gustaf Adolphs höga födelse-fest firades; hållit til de hos handelsmannen i Gamle Carleby herr Henric Rahm församlade barn, d. 30 november 1778; af Johan Niclas Snellman. Wasa. Tryckt	FALSE	Vaasa	1778
Kungliga	Cavander, Christian (1730-1812)	Jesu rätte lärjungars eller de 	Jesu rätte lärjungars eller de trognas andeliga swagheter, förestälda uti högmässo-predikan, på andre dag påsk, i Wasa stads- och Mustasaari församlings kyrka, år 1779, och på en wärd åhörares begäran och omkostnad til trycket framgifna	FALSE	Vaasa	1779
Kungliga	Hersleb, Peder (1689-1757)	Jumalan lasten jokapäiväinen edeskäyminen armoistuimen 	Jumalan lasten jokapäiväinen edeskäyminen armoistuimen tygö...[Guds barns dagliga framträdande inför nådatronen	FALSE	Vaasa	1779
Kungliga	NA	Utdrag af rådstufwu-rättens protocoll, hållit 	Utdrag af rådstufwu-rättens protocoll, hållit i Gamla Carleby stad, d. 7 junii 1779. =(Rubr.)= (Wasa, tryckt af Georg Wilhelm Londicer.	FALSE	Vaasa	1779
Kungliga	Hannelius, Salomon (1722-1796)	Christillisen meidän autuudemma opin perustuxet 	Christillisen meidän autuudemma opin perustuxet lyhykäisisä kysymyxisä ja wastauxisa, nijn kuin ne, erinomattain rippi lapsille, sitte kuin he catechismuxensa opin auttawasti ulkoa ja sisäldä lukia taitawat, ensimmäisen walmistuxen alla Herran korkiast kallille ehtolliselle, lukkareilda ensin, ja sen jälken pappiudelta, taitaan edespidettää ja pandaa. Jotka yhteenkoottuina on ulosandanut S.H	FALSE	Vaasa	1780
Kungliga	Tollesson, Pehr (1747-1821)	En christelig upwäckelse-predikan; i anledning 	En christelig upwäckelse-predikan; i anledning af evangelio om den yttersta domen, på 26 söndagen efter trinitatis, hållen i kongl. artillerie-kyrkan i Stockholm, år 1774. Och på trägen anhållan til trycket lämnad af Pehr Tollesson	FALSE	Vaasa	1780
Kungliga	Bäkman, Olof	Soldaten Olof Bäkmans bref, til 	Soldaten Olof Bäkmans bref, til Anna Rågel i Sastmola. Wasa, 1780. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1780
Kungliga	NA	Underrättelse för dem, som anlägga 	Underrättelse för dem, som anlägga saltpetter-lador, men sakna underwisning uti det, som så wäl til sielfwa platsens wäljande hörer, som ladans byggande, jordens införande och sedermera anfucktande, med hwad mer som derwid nödigt kan	FALSE	Vaasa	1780
Kungliga	Hersleb, Peder (1689-1757)	En människas förhärdelse, såsom det 	En människas förhärdelse, såsom det aldraolycksaligaste tilstånd, hon kan komma uti. Förestäld uti en predikan, på 10de söndagen efter trinitatis, hållen på det kongl. hofwet för deras majestäter i Dannemark och Köpenhamn, af P. Hersleb	FALSE	Vaasa	1781
Kungliga	Hersleb, Peder (1689-1757)	Guds barns dagliga framgång til 	Guds barns dagliga framgång til nådastolen, eller Utwalda morgon- och afton-böner, på alla dagar i wekan, dem til nytta som wilja tilbedja Gud i andanom och i sanningen. Först sammanskrifne på danska tungomålet af P. Hersleb. ... och	FALSE	Vaasa	1781
Kungliga	Lau, Samuel (1703-1746)	Christuxen veren voima .	Christuxen veren voima .	FALSE	Vaasa	1782
Kungliga	Tollesson, Pehr (1747-1821)	Guds barns fördolda lif med 	Guds barns fördolda lif med Christo i Gudi, förestäldt i en christelig högmäszo-predikan i anledning af evangelio på annan dag påska. Af Pehr Tollesson. Wasa, 1782. Tryckt af Georg Wilhelm Londicer. Efter tryckt exemplar ifrån Stockholm	FALSE	Vaasa	1782
Kungliga	Björkman, Fredrik Adolph (1753-1807)	Om träd-plantering. =Anon.= Wasa, 1782. 	Om träd-plantering. =Anon.= Wasa, 1782. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1782
Kungliga	Björkman, Fredrik Adolf	Om trädplantering	Om trädplantering	FALSE	Vaasa	1782
Kungliga	Frosterus, Eric	Nijden terwellisten sanain muoto, 2 	Nijden terwellisten sanain muoto, 2 Tim. 1:13. Sijnä järjestyxesä kuin d. Lutheruxen catechismus sen päkappaleisa sisällänspitä, nijden enimmäin catechismuxen selittäitten johdatuxen jälkeen, edeswetänyt ja kokoonpannut yxinkertaisisa kysymyxisä ja wastauxisa. Wuonna 1782. Eric Frosterus v. past. ja cappalainen Haukiputan kappelilla, Iin pitäjäsä	FALSE	Vaasa	1783
Kungliga	Kingo, Thomas (1634-1703)	Thomas Kingos Andelige sånge-chor. Jämte 	Thomas Kingos Andelige sånge-chor. Jämte tilökning af andre tröstrika sånger. Wasa, 1783. Tryckt af Georg Wilhelm Londicer, efter tryckt exemplar	FALSE	Vaasa	1783
Kungliga	Tiselius, Daniel (1682-1744)	Jesu lidandes kraft och nytta 	Jesu lidandes kraft och nytta uti bedröfwade syndares andeliga uprättelse. Ny uplaga./(Daniel Tiselius.) Wasa, 1784. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1784
Kungliga	Sellegren, Peter (1713-1749)	Petter Sellegrens Afskeds-bref, til Annerstad 	Petter Sellegrens Afskeds-bref, til Annerstad och Nöttia församlingar, hwarest han uti 14 års tid warit lärare, då han, för öfwadt bedrägeri emot riksens ständers bank, på Järntorget i Stockholm, undergick det honom ådömde döds-straffet	FALSE	Vaasa	1784
Kungliga	Fénelon, François De Salignac De La Mothe (1651-1715)	Den trogna råds-herren, eller Berättelse 	Den trogna råds-herren, eller Berättelse om Selim, som ifrån en fattig wall-gåsse omsider blef den förnämsta råds- och fält-herren i persiska riket. Öfwersättning. =Anon=. Wasa tryckt år 1785. [G.V. Londicer.	FALSE	Vaasa	1785
Kungliga	Hast, Barthold Rudolf (1724-1784)	Kårtt underrättelse, huru man bör 	Kårtt underrättelse, huru man bör sig förhålla wid yppande boskaps-pest./(H.R. Hast.) Wasa, 1786. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1786
Kungliga	Hedberg, Fredric (1748-1791)	Meidän Herran Jesuxen Christuxen terwelliset 	Meidän Herran Jesuxen Christuxen terwelliset sanat ja se oppi, kuin jumalisudesta on: I Tim. 6:3. Eli yxi tarpellinen meidän christillisydemme opin-kappalden selitys lyhykäisten ja yxinkertaisten kysymysten ja wastausten kautta, nijlle erinomattain ylösrakennuxexi, jotka aikowat walmista itsiänsä rippi-schouluun, ja ensimmäisen kerran käymään ripille ja Herran Jesuxen korkialle ehtolliselle, edespandu Fredrik Hedbergildä kappalainen Wihannin seurakunnasa, Salon pitäjäsä .	FALSE	Vaasa	1786
Kungliga	Ganander, Christfrid (1741-1790)	Runo-kirja joka sisällänsä pitää 1 	Runo-kirja joka sisällänsä pitää 1 K. Salomonin korkia weisum.	FALSE	Vaasa	1786
Kungliga	Chydenius, Anders (1729-1803)	Tal, hållit på afrättsplasen [!] 	Tal, hållit på afrättsplasen [!] i Kronoby, af Anders Chydenius ... då soldaterna Matts Hjelt, Abraham Frodig och Peter Lindström för begångit mord, rån och mordbränneri uppå barna-läraren wid Teirijärwi capell, Johan Mattsson och des hustru, til följe af höglofl. kongl. Wasa hof-rätts dom, miste högra handen, halshöggos och steglades den 12 april 1786	FALSE	Vaasa	1786
Kungliga	Schütz, Johann Jacob (1640-1690)	Christelig minnes-bok, til at befrämja 	Christelig minnes-bok, til at befrämja et begynt nytt lefwerne; i hwilken gifwes en kårt och enfaldig anledning för en wälsinnad själ, til syndenes bårtläggande, den inwärtes människans uplysning, och föreningen med Gud. Ifrån tyskan	FALSE	Vaasa	1787
Kungliga	NA	Den trogna stalldrängen, eller Några 	Den trogna stalldrängen, eller Några försökte botemedel för mäst gångbara häste-sjukdomar. Wasa, tryckt af Georg Wilh. Londicer, 1787. Efter tryckt exemplar	FALSE	Vaasa	1787
Kungliga	Londicer, Georg Wilhelm (1745-1804)	N:o 1. Stora mesal fractur. 	N:o 1. Stora mesal fractur. / Jesus alt mitt goda är, för mig har / N:o 2. Stora canon fractur. / ... =(Text.)= (Prof af swenska stilar, hwilka finnas uti kongl. privilegierade boktryckeriet i Wasa 1787. [G.V. Londicer.] 	FALSE	Vaasa	1787
Kungliga	Lithovius, Isaac (1677-1730)	Ulosweto kysymyzistä, jotka ennen tätä 	Ulosweto kysymyzistä, jotka ennen tätä Mart.Lutheruxen catechismuxen, ja Gezeliuxen kysymys kirjan.	FALSE	Vaasa	1787
Kungliga	NA	Långfredags tankar. =(Rubr.)= (Wasa. Tryckt. 	Långfredags tankar. =(Rubr.)= (Wasa. Tryckt. Af. Georg. Wilhelm. Londicer. 1788.	FALSE	Vaasa	1788
Kungliga	NA	Medborgare!	Medborgare!	FALSE	Vaasa	1788
Kungliga	NA	Medborgare! *) =(Rubr.)=	Medborgare! *) =(Rubr.)=	FALSE	Vaasa	1788
Kungliga	Dahlberg, Johan Peter (1750-1815)	Tal, hållit i Nyköpings wästra 	Tal, hållit i Nyköpings wästra eller Nicolai kyrka den 10 augusti 1788, af Joh. Pet. Dahlberg ... Wasa, tryckt af Georg Wilhelm Londicer 1788. Efter tryckt exemplar	FALSE	Vaasa	1788
Kungliga	Tammelin, Lars (1669-1733)	Berättelse om stor-furstendömet Finlands och 	Berättelse om stor-furstendömet Finlands och Österbottens bedröfliga tilstånd af ryssarnes grufweliga med fart i förra tider. Framgifwen i 1717 och 1718 års almanachor, af Laurent. Tammelin, då warande mathem. professor i Åbo. Omtryckt	FALSE	Vaasa	1789
Kungliga	NA	En kårrt berättelse, om en 	En kårrt berättelse, om en fattig man wid namn Joseph. Tryckt år 1785, uti Hadersleben på tyska; hwarifrån den på swenska blifwit öfwersatt	FALSE	Vaasa	1789
Kungliga	Gustav,  (1746-1792)	Kongl. maj:ts tal, hållit til 	Kongl. maj:ts tal, hållit til riksens ständer på riks-salen i Stockholms slott, wid riksdagens öpnande måndagen den 2 februarii 1789. Wasa. Tryckt af Georg Wilhelm Londicer. Efter tryckt exemplar	FALSE	Vaasa	1789
Kungliga	Gustav,  (1746-1792)	Konungens tal, hållit på riks-salen 	Konungens tal, hållit på riks-salen then 17 februarii 1789, i alla fyra ståndens närwaro. Wasa, tryckt af Georg Wilhelm Londicer. Efter tryckt exemplar	FALSE	Vaasa	1789
Kungliga	NA	Berättelse om kongl. armeens flottas 	Berättelse om kongl. armeens flottas seger wid Fredricshamn, den 15 maji 1790, under konungens höga befäl: =(Rubr.)= (Wasa, tryckt af Georg Wilhelm Londicer, 1790.	FALSE	Vaasa	1790
Kungliga	NA	Berättelse om Kongl. Armeens Flottas 	Berättelse om Kongl. Armeens Flottas Seger wid Fredricshamn, den 15 Maji 1790, under Konungens höga befäl	FALSE	Vaasa	1790
Kungliga	Mathesius, Georg (1732-1816)	En lärares christeliga anmärkningar, öfwer 	En lärares christeliga anmärkningar, öfwer en tros bekännelse, den han infordrat och hwilken honom blifwit lemnad af en hans åhörare./(Georg Mathesius.) Wasa, 1790. Tryckte af Georg Wilhelm Londicer	FALSE	Vaasa	1790
Kungliga	Cneiff, Johan David (1722-1791)	Hjertelig tacksäjelse- låf- och glädje-sång, 	Hjertelig tacksäjelse- låf- och glädje-sång, inför fridsens Gud; öfwer den af Sweriges aldrahuldaste konung, konung Gustaf den 3:dje, med Ryszland slutne ärefulla och segerrika friden, den 14 augusti 1790. Författad af Johan Dawid Cneiff	FALSE	Vaasa	1790
Kungliga	Creiman, Anders (1707-1707)	Wederqweckande själa-ro, eller: Hundrade andelige 	Wederqweckande själa-ro, eller: Hundrade andelige sånger, hwarigenom en christtrogen själ kan upwäckas til gudelig andackt, märkelig förbättring och dagelig upbyggelse uti sin christendom: jemwäl ock deraf hämta en kraftig tröst under sitt mödosamma lefwerne. Sammansatte af A.C. Förbättrad uplaga	FALSE	Vaasa	1791
