Name	Count
Total count: 	660
[s.a.]	414
[189?]	 41
[190?]	 26
[18??]	 25
[184?]	 16
[191?]	 10
[190-?]	  7
[18?]	  5
[19??]	  5
[16??]	  4
[17--].	  4
[17??].	  4
[189-?]	  4
[171-?].	  3
[173-?]	  3
[178-?]	  3
s.a.	  3
[ s. a. ]	  2
[164?]	  2
[17--]	  2
[17??]	  2
[174-?]	  2
[175-?]	  2
[179-?]	  2
[180-?]	  2
[19-?]	  2
[19?]	  2
[s. a.]	  2
[s.a.].	  2
[s.a]	  2
555 s.	  2
[158-?]	  1
[165-?]	  1
[166-].	  1
[167-?]	  1
[167?]	  1
[168-?]	  1
[168-?].	  1
[168?]	  1
[17?]	  1
[172-?]	  1
[172?]	  1
[175?]	  1
[176-?]	  1
[176-]	  1
[177?].	  1
[178-]	  1
[18--?]-[19--?].	  1
[18??].	  1
[181-?]	  1
[182-?]	  1
[182?]	  1
[182?].	  1
[184?].	  1
[185?]	  1
[185?].	  1
[186?]	  1
[188?]	  1
[19--?]-[19--?]	  1
[19??].	  1
[1904-] 1905.	  1
[191-?]	  1
[191?].	  1
[S. a.]	  1
[s.n.]	  1
1???.	  1
1722?,;2:o.	  1
1731,;4:o.	  1
1893-1913[?]	  1
190?.	  1
1905 [oik. 15]	  1
8:o.	  1
a[...] 1666-1670.	  1
anno radix ingen vae artis est amara frvctvs vetò eivs sapit tibi benè.	  1
MDCCXIV. X. Marti.	  1
Olavi H. Puro.	  1
prändätty ... [17--]	  1
prändätty tänä wuonna.	  1
prändätty wuonna [...]	  1
prändätty wuonna 166[...]	  1
prändätty, tänä wuonna [17-?]	  1
prändätyt tänä wuodena.	  1
tryckt i åhr.	  1
trykt i år.	  1
Winther.	  1
wuonna 1754 s. 13 päiwänä touco cuusa.	  1
