doc.dimension,mean.pages.singlevol,median.pages.singlevol,n.singlevol,mean.pages.multivol,median.pages.multivol,n.multivol,mean.pages.issue,median.pages.issue,n.issue
1to,1.97040169133192,2,473,NA,NA,NA,NA,NA,NA
2long,95.25,99.5,4,NA,NA,NA,47,47,1
2fo,13.4524180967239,4,3205,NA,NA,NA,17.9801324503311,16,755
4long,69.495145631068,28,206,NA,NA,NA,23.4121621621622,19,148
4to,36.3252219454557,12,15657,NA,NA,NA,20.256196156395,18,7545
6to,99.9655172413793,64,29,NA,NA,NA,20.9166666666667,13,12
8long,210.272727272727,112,99,NA,NA,NA,24.8,24,15
8vo,103.398765114484,54,7774,NA,NA,NA,24.5283801020408,24,3136
12long,388.142857142857,244,7,NA,NA,NA,NA,NA,NA
12mo,112.470933828077,68,3234,NA,NA,NA,29.7708333333333,28,1296
16long,159,159,1,NA,NA,NA,NA,NA,NA
16mo,106.467867867868,48,1665,NA,NA,NA,30.593635250918,32,817
18mo,244.875,199,8,NA,NA,NA,44,44,1
20to,209,209,1,NA,NA,NA,NA,NA,NA
24mo,300,178,12,NA,NA,NA,32,32,1
32mo,227.894736842105,94,57,NA,NA,NA,24.1666666666667,23.5,12
64mo,91.5,112,8,NA,NA,NA,24,24,1
NA,109.675170068027,61,38808,NA,NA,NA,24.831096427834,23,14529
